CP,year,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,symbol,Cổ đông thiểu số,Doanh thu thuần,Lãi gộp,Thu nhập tài chính,Chi phí tài chính,Lãi/Lỗ từ hoạt động kinh doanh,Lợi nhuận khác,Chi phí bán hàng,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Giá vốn hàng bán,Lãi/lỗ từ công ty liên doanh
FPT,2024,62962652134635,0.19643597005693922,7856767812178,0.21524151439289263,,,,,,,,,,,,,,,-7074038614774,,,11069666417819,,-1922927614658,280683727283.0,9427422530444,7856767812178,,FPT,1570654718266.0,62848794351367.0,23698348369916.0,1935749115305.0,-1811547381981.0,11025080772955.0,44585644864.0,-6115961971783.0,175450599740.0,0.0,-130864954876.0,-551639361786.0,62962652134635.0,-113857783268.0,-39150445981451.0,392531256272.0
FPT,2023,52625174861333,0.19540153678395708,6465190432622,0.21752508848556798,,,,,,,,,,,,,,,-6625373638359,,,9203006098570,,-1424017001796,9060642842.0,7788049739616,6465190432622,,FPT,1322859306994.0,52617900827385.0,20319553444682.0,2336069089819.0,-1718298463710.0,9111745534433.0,91260564137.0,-5242551906960.0,200956010920.0,0.0,-109695446783.0,-832648611261.0,52625174861333.0,-7274033948.0,-32298347382703.0,42347008961.0
FPT,2022,44023010881275,0.23413827528742234,5310108591408,0.22425740016426637,,,,,,,,,,,,,,,-5846280653514,,,7662282959880,,-1193613667231,22674161820.0,6491343454469,5310108591408,,FPT,1181234863061.0,44009527680911.0,17167278641198.0,1998503979865.0,-1687369701824.0,7589289622311.0,72993337569.0,-4526440691815.0,184323926142.0,0.0,-111330588573.0,-645725556308.0,44023010881275.0,-13483200364.0,-26842249039713.0,483598048401.0
FPT,2021,35671052233610,0.19214665095503627,4337411879802,0.22594753883895297,,,,,,,,,,,,,,,-4612325935574,,,6337206440958,,-954883280274,-33022061188.0,5349301099496,4337411879802,,FPT,1011889219694.0,35657262545027.0,13631964236778.0,1270789386267.0,-1144187446845.0,6228494136764.0,108712304194.0,-3604610784981.0,133219177622.0,0.0,-24506873428.0,-483995846804.0,35671052233610.0,-13789688583.0,-22025298308249.0,686864681119.0
FPT,2020,29921698144296,0.07663058913597777,3538007738822,0.1284249968253022,,,,,,,,,,,,,,,-4495366457586,,,5263456629967,,-942814118631,103102706262.0,4423745217598,3538007738822,,FPT,885737478776.0,29830400526824.0,11813657474727.0,821896424782.0,-548165211617.0,5190654463931.0,72802166036.0,-2713561338553.0,131401186949.0,0.0,-58599020913.0,-385337754896.0,29921698144296.0,-91297617472.0,-18016743052097.0,312193572178.0
GAS,2024,103603614927247,0.15097048632947824,10398370049725,-0.10405457593293793,,,,,,,,,,,,,,,-3197034309940,,,13172107496375,,-2561813069323,-20173841542.0,10590120585510,10398370049725,,GAS,191750535785.0,103564126562888.0,17654357438748.0,1736612351244.0,-660047745399.0,13156405325870.0,15702170505.0,-2415289067133.0,41606598391.0,0.0,-25904427886.0,-318596953375.0,103603614927247.0,-39488364359.0,-85909769124140.0,37806658350.0
GAS,2023,90014136902542,-0.10632481090106574,11606030646959,-0.21571956631008618,,,,,,,,,,,,,,,-1474856883595,,,14639542209210,,-2812599931853,-33846797814.0,11793095479543,11606030646959,,GAS,187064832584.0,89953906513325.0,16924921455698.0,2272915648323.0,-586713077889.0,14619122980234.0,20419228976.0,-2543871863091.0,33550256202.0,0.0,-13131027226.0,-339976056558.0,90014136902542.0,-60230389217.0,-73028985057627.0,26727700788.0
GAS,2022,100723549227433,0.27510824076662704,14798317219715,0.7062581381502309,,,,,,,,,,,,,,,-1074753539576,,,18806274860388,,-3709948669392,-29933901568.0,15066392289428,14798317219715,,GAS,268075069713.0,100723549227433.0,21314536657889.0,1568073330550.0,-671395477079.0,18727890017478.0,78384842910.0,-2440389587646.0,111967278406.0,0.0,-33582435496.0,-336861023097.0,100723549227433.0,0.0,-79409012569544.0,31818633340.0
GAS,2021,78992156122272,0.23165508116603017,8672965062460,0.10413924007342794,,,,,,,,,,,,,,,-1479072397239,,,11204998243771,,-2304278491555,-48907622506.0,8851812129710,8672965062460,,GAS,178847067250.0,78992156122272.0,13985654978341.0,1186807167063.0,-402749045863.0,11173110811484.0,31887432287.0,-2132583045802.0,83102974835.0,0.0,-51215542548.0,-304138743377.0,78992156122272.0,0.0,-65006501143931.0,15053154984.0
GAS,2020,64134965486838,-0.1483883322308284,7854955921939,-0.34004434260100547,,,,,,,,,,,,,,,-769205023620,,,9978064228697,,-2037319332206,31046323461.0,7971791219952,7854955921939,,GAS,116835298013.0,64134965486838.0,11406015984511.0,1451117996323.0,-169134841287.0,9964437834512.0,13626394185.0,-1943004886832.0,50448429544.0,0.0,-36822035359.0,-101218192497.0,64134965486838.0,0.0,-52728949502327.0,-11351394583.0
GVR,2024,26267016732896,0.18491949694403775,3988716618482,0.5205681394220847,,,,,,,,,,,,,,,-2325102410148,,,5606391439164,,-943200647191,163475234978.0,4826666026951,3988716618482,,GVR,837949408469.0,26241944114845.0,6965048047130.0,957207763983.0,-464998442921.0,4739759927528.0,866631511636.0,-554280177352.0,1378217343266.0,0.0,-511585831630.0,-352905202449.0,26267016732896.0,-25072618051.0,-19276896067715.0,161885146836.0
GVR,2023,22167764814943,-0.12983296156957314,2623175190293,-0.32425155520382354,,,,,,,,,,,,,,,-1864450111955,,,4113891839564,,-688075163368,-52955013507.0,3372861662689,2623175190293,,GVR,749686472396.0,22138403152486.0,4962898479712.0,1114792596285.0,-618011845618.0,2795528168347.0,1318363671217.0,-591451294471.0,1654215097847.0,0.0,-335851426630.0,-477578421406.0,22167764814943.0,-29361662457.0,-17175504672774.0,-208249655606.0
GVR,2022,25475298231163,-0.02863432430264328,3881881209633,-0.06645070034397356,,,,,,,,,,,,,,,-1756840052036,,,5768180052419,,-936903046284,-27128098390.0,4804148907745,3881881209633,,GVR,922267698112.0,25421401285123.0,6389958933649.0,894185343656.0,-693655051039.0,4444925924720.0,1323254127699.0,-592312872341.0,1818655064604.0,0.0,-495400936905.0,-490848598668.0,25475298231163.0,-53896946040.0,-19031442351474.0,203589622831.0
