cp,year,shares_outstanding,close,eps,roa,roe,bvps,pe,pb,loi_nhuan_sau_thue_cua_co_dong_cong_ty_me_dong,tong_cong_tai_san_dong,von_chu_so_huu_dong
PDR,2021,492771916.0,60.03,3784.72,0.091,0.229,16527.953,15.861,3.632,1865003864267,20551878969983,8144511207117
PDR,2020,396169897.0,24.48,3080.304,0.078,0.235,13111.237,7.947,1.867,1220323637643,15617489554689,5194277496677
PLX,2024,1293878081.0,36.96,2233.444,0.036,0.099,22651.264,16.548,1.632,2889803702540,81274634873472,29307974443473
PLX,2023,1293878081.0,33.06,2190.242,0.036,0.097,22569.443,15.094,1.465,2833906727712,79675619099330,29202107178831
PLX,2022,1293878081.0,27.0,1120.462,0.019,0.052,21472.356,24.097,1.257,1449740967084,74475615486233,27782610644219
PLX,2021,1293878081.0,48.19,2194.105,0.044,0.1,21841.464,21.963,2.206,2838904272857,64791240989120,28260191572059
PLX,2020,1293878081.0,41.7,763.956,0.016,0.041,18646.581,54.584,2.236,988465286035,61106212964443,24126402466781
POW,2024,2341871600.0,11.4,474.658,0.014,0.032,14808.94,24.017,0.77,1111588278970,79915032729562,34680634910666
POW,2023,2341871600.0,11.3,443.391,0.015,0.03,14569.3,25.485,0.776,1038363942297,70362090314609,34119429170920
POW,2022,2341871600.0,11.4,880.005,0.036,0.062,14211.475,12.954,0.802,2060858298332,56843244854790,33281450502337
POW,2021,2341871600.0,11.9,767.999,0.034,0.058,13290.813,15.495,0.895,1798554042056,52976917956925,31125377710593
POW,2020,2341871600.0,9.7,1009.882,0.044,0.076,13351.113,9.605,0.727,2365014893441,54050146599573,31266593379474
SAB,2024,1282562372.0,50.39,3376.142,0.129,0.177,19053.337,14.925,2.645,4330113031371,33439406364651,24437093182672
SAB,2023,1282562372.0,53.33,3210.452,0.121,0.162,19870.502,16.611,2.684,4117605068688,34056624839705,25485157894867
SAB,2022,641281186.0,73.94,8145.961,0.152,0.212,38346.433,9.077,1.928,5223851427095,34465075615756,24590845919393
SAB,2021,641281186.0,60.67,5734.228,0.121,0.163,35233.82,10.58,1.722,3677252341304,30487024372425,22594785703161
SAB,2020,641281186.0,78.82,7365.719,0.173,0.223,33082.643,10.701,2.383,4723496860190,27374972775358,21215276390928
SHB,2024,3662908500.0,7.87,2544.958,0.012,0.161,15852.797,3.092,0.496,9321949000000,747478069000000,58067344000000
SHB,2023,3619398100.0,8.13,2023.75,0.012,0.146,13841.605,4.017,0.587,7324758000000,630500685000000,50098280000000
SHB,2022,3067383200.0,6.55,2519.711,0.014,0.18,13987.32,2.6,0.468,7728918000000,542428085000000,42904471000000
SHB,2021,2667369800.0,12.72,1877.19,0.01,0.141,13320.862,6.776,0.955,5007161000000,506604328000000,35531665000000
SHB,2020,1751009100.0,6.9,1488.863,0.006,0.108,13727.067,4.634,0.503,2607012000000,412679593000000,24036220000000
SSI,2024,1963863918.0,25.31,1443.594,0.039,0.106,13660.137,17.533,1.853,2835023120364,73507302559722,26826650611768
SSI,2023,1501130137.0,24.36,1527.37,0.033,0.099,15482.263,15.949,1.573,2292781385416,69241327102648,23240892110813
SSI,2022,1491130137.0,15.02,1139.619,0.033,0.076,15011.354,13.18,1.001,1699319896223,52226382886481,22383881964660
SSI,2021,984750022.0,15.72,2737.663,0.053,0.19,14440.297,5.742,1.089,2695913941251,50793056562082,14220082730148
SSI,2020,602945613.0,8.98,2085.383,0.035,0.127,16374.275,4.306,0.548,1257372470832,35769528008240,9872797052319
STB,2024,1885215700.0,33.3,5350.844,0.013,0.184,29159.565,6.223,1.142,10087495000000,748094546000000,54972070000000
STB,2023,1885215700.0,26.3,4094.288,0.011,0.169,24259.221,6.424,1.084,7718616000000,674389660000000,45733864000000
STB,2022,1885215700.0,23.4,2673.803,0.009,0.13,20489.43,8.752,1.142,5040695000000,591907695000000,38626996000000
STB,2021,1885215700.0,26.9,1809.605,0.007,0.1,18173.695,14.865,1.48,3411496000000,521117123000000,34261336000000
STB,2020,1885215700.0,15.85,1422.639,0.005,0.093,15359.644,11.141,1.032,2681981000000,492516029000000,28956242000000
TCB,2024,7064851700.0,23.97,3046.48,0.022,0.145,20940.23,7.868,1.145,21522928000000,978798549000000,147939621000000
TCB,2023,3522510800.0,14.34,5111.071,0.021,0.137,37364.276,2.806,0.384,18003802000000,849482012000000,131616065000000
TCB,2022,3517238500.0,17.62,5729.033,0.029,0.178,32248.301,3.076,0.546,20150377000000,699032544000000,113424966000000
TCB,2021,3510914800.0,23.71,5141.751,0.032,0.194,26500.635,4.611,0.895,18052250000000,568728950000000,93041472000000
TCB,2020,3504906200.0,14.05,3516.497,0.028,0.165,21288.668,3.995,0.66,12324991000000,439602933000000,74614786000000
TPB,2024,2641956200.0,14.38,2298.158,0.015,0.162,14229.785,6.257,1.011,6071634000000,418028391000000,37594469000000
TPB,2023,2201635000.0,12.06,2027.277,0.013,0.136,14872.091,5.949,0.811,4463325000000,356633972000000,32742917000000
TPB,2022,1581755500.0,9.97,3958.098,0.019,0.194,20381.818,2.519,0.489,6260744000000,328634007000000,32239052000000
TPB,2021,1581755500.0,14.71,3053.05,0.016,0.186,16429.259,4.818,0.895,4829179000000,292827078000000,25987070000000
TPB,2020,1071671700.0,8.6,3275.433,0.017,0.21,15624.559,2.626,0.55,3510189000000,206314594000000,16744398000000
VCB,2024,5589091300.0,61.63,6053.11,0.016,0.172,35105.737,10.182,1.756,33831386000000,2085873522000000,196209168000000
VCB,2023,5589091300.0,57.18,5922.434,0.018,0.201,29536.195,9.655,1.936,33101027000000,1839724560000000,165080490000000
