cp,year,lailo_cac_hoat_dong_khac,luu_chuyen_tien_thuan_tu_hdkd_truoc_thay_doi_vld,luu_chuyen_tien_thuan_tu_hdkd_truoc_thue,chi_tu_cac_quy_cua_tctd,mua_sam_tscd,tien_thu_co_tuc_va_loi_nhuan_duoc_chia,luu_chuyen_tu_hoat_dong_dau_tu,tang_von_co_phan_tu_gop_von_vahoac_phat_hanh_co_phieu,luu_chuyen_tien_tu_hoat_dong_tai_chinh,luu_chuyen_tien_thuan_trong_ky,tien_va_tuong_duong_tien,anh_huong_cua_chenh_lech_ty_gia,tien_va_tuong_duong_tien_cuoi_ky,luu_chuyen_tien_te_rong_tu_cac_hoat_dong_sxkd,tien_thu_duoc_tu_thanh_ly_tai_san_co_dinh,dau_tu_vao_cac_doanh_nghiep_khac,tien_thu_tu_viec_ban_cac_khoan_dau_tu_vao_doanh_nghiep_khac,co_tuc_da_tra,symbol,lailo_rong_truoc_thue,khau_hao_tscd,du_phong_rr_tin_dung,lailo_chenh_lech_ty_gia_chua_thuc_hien,lailo_tu_hoat_dong_dau_tu,thu_nhap_lai,tanggiam_cac_khoan_phai_thu,tanggiam_hang_ton_kho,tanggiam_cac_khoan_phai_tra,tanggiam_chi_phi_tra_truoc,chi_phi_lai_vay_da_tra,tien_thu_nhap_doanh_nghiep_da_tra,tien_chi_khac_tu_cac_hoat_dong_kinh_doanh,tien_chi_cho_vay_mua_cong_cu_no_cua_don_vi_khac_dong,tien_thu_hoi_cho_vay_ban_lai_cac_cong_cu_no_cua_don_vi_khac_dong,chi_tra_cho_viec_mua_lai_tra_co_phieu,tien_thu_duoc_cac_khoan_di_vay,tien_tra_cac_khoan_di_vay,tien_thu_khac_tu_cac_hoat_dong_kinh_doanh,tien_thanh_toan_von_goc_di_thue_tai_chinh,co_tuc_da_nhan,lailo_tu_thanh_ly_tai_san_co_dinh,thu_lai_va_co_tuc,tanggiam_cac_khoan_phai_thu_2,tanggiam_cac_khoan_phai_tra_2
SAB,2022,0.0,6059081280429.0,0.0,0.0,-533164261997,1013860242106,-1867768246891,0,-2047707382716,463041793433,3606454403209,-32036000.0,4069464160642,4378517423040,4266273000,0.0,0,-2418865072091,SAB,6813417318962.0,561105325398.0,-375364909.0,-6770234675.0,-1353813061347.0,45517297000.0,-318889338291.0,-524913148727.0,739396642915.0,-94057434127.0,-48765455244.0,-1329727378601.0,-103607745314.0,-22641269675342.0,20288539175342.0,0.0,3279890701619.0,-2908733012244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2021,0.0,4056683421384.0,0.0,0.0,-329541012650,1111565947946,-1223348339323,0,-1414021691256,880481528803,2726137088387,-164213981.0,3606454403209,3517851559382,3485470000,0.0,444560822504,-1096306570171,SAB,4856894249743.0,557477760126.0,-63136957901.0,-24130427975.0,-1245343063898.0,48739800374.0,-52721845531.0,-223957039716.0,658279721558.0,145399315693.0,-35346961903.0,-919005428188.0,-111479623915.0,-18159840000000.0,15706420432877.0,0.0,2984178514935.0,-3301893636020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAB,2020,0.0,5537717829157.0,0.0,0.0,-367442290535,1023969279237,-1523225006902,0,-3995120583696,-1389734012942,4115884646637,-13545308.0,2726137088387,4128611577656,1440687000,0.0,0,-3734027010258,SAB,6111818325965.0,593451595931.0,-41308902896.0,10993808785.0,-933512405110.0,63681326473.0,70185855564.0,573632990375.0,-660694079661.0,-44422006927.0,-72029586806.0,-1038633850562.0,-237145573484.0,-16247323041096.0,14066130358492.0,0.0,3061076110807.0,-3309442411518.0,0.0,-12727272727.0,0.0,0.0,-267405919991.0,0.0,0.0
SHB,2024,676327000000.0,14653424000000.0,11949125000000.0,0.0,-210732000000,29502000000,-179988000000,435104000000,-1311389000000,10457748000000,110859786000000,0.0,121317534000000,11949125000000,2474000000,0.0,0,-1746493000000,SHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2023,243550000000.0,19609473000000.0,40770417000000.0,0.0,-240841000000,4958000000,589442000000,0,-165000000,41359694000000,69500092000000,0.0,110859786000000,40770417000000,1780000000,0.0,825440000000,-165000000,SHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2022,60297000000.0,6763990000000.0,-2263194000000.0,0.0,-71255000000,4226000000,-45759000000,0,-122000000,-2309075000000,71809167000000,0.0,69500092000000,-2263194000000,15151000000,0.0,6119000000,-122000000,SHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2021,238319000000.0,13045013000000.0,17690349000000.0,0.0,-195065000000,3750000000,-199689000000,6739434000000,6738501000000,24229161000000,47580006000000,0.0,71809167000000,17690349000000,-9874000000,0.0,1500000000,-933000000,SHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHB,2020,257524000000.0,8274574000000.0,-6071092000000.0,0.0,-116006000000,-14931000000,-130401000000,2959560000000,2959115000000,-3242378000000,50822384000000,0.0,47580006000000,-6071092000000,536000000,0.0,0,-445000000,SHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSI,2024,0.0,-5159488790080.0,0.0,0.0,-436566898855,174138190772,801532980280,2363708005000,3207880436460,-254905290009,493905528209,2242128654.0,239000238200,-4264318706749,83961688363,-820000000000.0,1800000000000,-1505962969000,SSI,3543527483662.0,107560149828.0,34901144786.0,-12820407968.0,-231008960449.0,1505764783295.0,-239769234000.0,0.0,-832095463602.0,17182696387.0,-1498915329918.0,-849075293090.0,-97301901401.0,0.0,0.0,0.0,257590541631577.0,-255240406231117.0,4178301935572.0,0.0,0.0,0.0,-4150286468848.0,-808677619377.0,-828113819933.0
SSI,2023,0.0,-15639642283141.0,0.0,0.0,-98980292042,173831205477,-73958315037,100000000000,13843087119205,-923901734522,1417807262731,3155957416.0,493905528209,-14693030538690,47830771528,-346640000000.0,150000000000,-1496666111000,SSI,2848566970193.0,105753994595.0,0.0,-68762944467.0,-237483528681.0,1570439043267.0,1536677426.0,0.0,549957324730.0,33880427080.0,-1567902554040.0,-286888581370.0,-73735428497.0,0.0,0.0,0.0,456844448643479.0,-441604695413274.0,3203993019243.0,0.0,0.0,0.0,-3378218475508.0,1377837316748.0,162065469750.0
